OUTLINE_DEEP #1F3935
OUTLINE_SOFT #2B4A40
FOLIAGE_DEEPEST #284B3A
FOLIAGE_SHADOW #356342
FOLIAGE_DARK #3F7547
FOLIAGE_MID #52914F
FOLIAGE_LIGHT #70AD5C
FOLIAGE_HIGHLIGHT #91C968
FOLIAGE_GOLD #9FBA58
SOIL_DEEP #5E3B35
BARK_DARK #704538
BARK_MID #965B42
BARK_LIGHT #BC7650
WOOD_CUT #D2A465
WOOD_LIGHT #E7C984
SOIL_MID #A76A50
SOIL_LIGHT #C98560
STONE_OUTLINE #425752
STONE_DARK #60716A
STONE_MID #7E8E83
STONE_LIGHT #A7B29F
CREAM #F2E6BC
CREAM_SHADOW #DCCB9B
YELLOW #E7B94C
YELLOW_LIGHT #F7D978
PINK #E78C9A
PINK_LIGHT #F3B3B0
MUSHROOM_RED #C94F49
MUSHROOM_LIGHT #E4745E
GOLDEN_LEAF #D79E3E
SPARKLE #FFF0B0
